Cellid,X,Y,W,H,cX,cY,Aera
7021,7532,3300,1,1,7532,3300,1
7022,8224,3300,2,2,8224.5,3300.5,4
7023,8645,3301,2,2,8645.5,3301.5,2
7024,10277,3301,1,1,10277,3301,1
7025,10279,3300,1,1,10279,3300,1
7026,1514,3303,1,1,1514,3303,1
7027,3780,3303,1,1,3780,3303,1
7028,3811,3303,1,1,3811,3303,1
7029,4309,3303,1,1,4309,3303,1
7030,7466,3303,1,1,7466,3303,1
7031,8224,3303,1,1,8224,3303,1
7032,8302,3303,1,1,8302,3303,1
7033,8639,3303,1,1,8639,3303,1
7034,10630,3302,2,2,10630.5,3302.5,4
7035,10581,3302,95,91,10632.30385,3352.145031,4206
7036,1512,3304,1,1,1512,3304,1
7037,1530,3304,4,4,1531.5,3305.5,8
7038,3776,3304,1,1,3776,3304,1
7039,5905,3304,1,2,5905,3304.5,2
7040,9037,3304,1,1,9037,3304,1
7041,9936,3305,1,1,9936,3305,1
7042,10208,3305,1,1,10208,3305,1
7043,10998,3304,118,185,11054.29599,3390.054944,10811
7044,11046,3305,2,1,11046.5,3305,2
7045,11054,3304,1,1,11054,3304,1
7046,11449,3304,1,1,11449,3304,1
7047,11455,3304,1,1,11455,3304,1
7048,15552,3304,5,3,15553.77778,3305.333333,9
7049,15547,3304,20,14,15558.18269,3310.605769,104
7050,1527,3307,1,1,1527,3307,1
7051,8299,3307,1,1,8299,3307,1
7052,9034,3307,1,1,9034,3307,1
7053,10632,3306,1,1,10632,3306,1
7054,11027,3306,1,1,11027,3306,1
7055,11053,3306,1,1,11053,3306,1
7056,11452,3307,1,1,11452,3307,1
7057,11458,3307,2,2,11458.5,3307.5,2
7058,1519,3309,1,1,1519,3309,1
7059,1522,3308,2,3,1522.75,3308.75,4
7060,4224,3308,1,1,4224,3308,1
7061,4227,3309,1,1,4227,3309,1
7062,5990,3308,1,1,5990,3308,1
7063,8296,3308,1,1,8296,3308,1
7064,8299,3309,2,3,8299.666667,3310,3
7065,11456,3308,2,2,11456.5,3308.5,2
7066,1532,3310,2,2,1532.5,3310.5,4
7067,5998,3310,2,2,5998.5,3310.5,4
7068,7456,3310,2,2,7456.5,3310.5,4
7069,8224,3311,1,1,8224,3311,1
7070,8226,3310,2,2,8226.5,3310.5,4
7071,8296,3311,1,1,8296,3311,1
7072,8955,3311,1,1,8955,3311,1
7073,10279,3310,1,1,10279,3310,1
7074,11027,3310,1,1,11027,3310,1
7075,11398,3310,95,183,11444.13252,3405.181397,11213
7076,2904,3312,2,1,2904.5,3312,2
7077,2908,3313,1,1,2908,3313,1
7078,2911,3312,1,1,2911,3312,1
7079,3807,3312,1,1,3807,3312,1
