,Cellid,X,Y,W,H,cX,cY,Aera
22529,22529,9917,9146,3,2,9918.2,9146.4,5
22530,22530,11816,9146,1,1,11816.0,9146.0,1
22531,22531,11818,9147,1,1,11818.0,9147.0,1
22532,22532,11932,9146,1,1,11932.0,9146.0,1
22533,22533,11935,9146,1,1,11935.0,9146.0,1
22534,22534,5496,9148,3,2,5497.0,9148.5,6
22535,22535,5728,9149,1,1,5728.0,9149.0,1
22536,22536,5741,9149,1,1,5741.0,9149.0,1
22537,22537,5773,9149,1,1,5773.0,9149.0,1
22538,22538,5808,9149,2,1,5808.5,9149.0,2
22539,22539,6656,9148,2,2,6656.5,9148.5,4
22540,22540,8100,9148,1,1,8100.0,9148.0,1
22541,22541,8788,9149,2,3,8788.6,9150.2,5
22542,22542,11933,9148,1,1,11933.0,9148.0,1
22543,22543,5503,9151,1,1,5503.0,9151.0,1
22544,22544,5732,9151,1,1,5732.0,9151.0,1
22545,22545,6394,9151,1,1,6394.0,9151.0,1
22546,22546,8812,9150,3,2,8812.8,9150.6,5
22547,22547,9582,9150,2,2,9582.5,9150.5,4
22548,22548,9852,9151,1,1,9852.0,9151.0,1
22549,22549,9854,9151,1,1,9854.0,9151.0,1
22550,22550,9859,9150,1,2,9859.0,9150.5,2
22551,22551,9913,9150,1,2,9913.0,9150.5,2
22552,22552,8305,9152,1,1,8305.0,9152.0,1
22553,22553,8327,9153,1,1,8327.0,9153.0,1
22554,22554,9073,9153,2,2,9073.5,9153.5,2
22555,22555,9076,9153,1,1,9076.0,9153.0,1
22556,22556,10630,9152,1,1,10630.0,9152.0,1
22557,22557,6391,9154,1,1,6391.0,9154.0,1
22558,22558,6694,9154,1,1,6694.0,9154.0,1
22559,22559,8100,9155,1,2,8100.0,9155.5,2
22560,22560,8332,9154,2,3,8332.6,9154.8,5
22561,22561,8335,9154,1,1,8335.0,9154.0,1
22562,22562,9075,9155,2,3,9075.666666666666,9156.0,3
22563,22563,9911,9155,1,1,9911.0,9155.0,1
22564,22564,10629,9155,1,1,10629.0,9155.0,1
22565,22565,5427,9156,1,1,5427.0,9156.0,1
22566,22566,5433,9157,1,2,5433.0,9157.5,2
22567,22567,5463,9157,1,1,5463.0,9157.0,1
22568,22568,6506,9157,1,1,6506.0,9157.0,1
22569,22569,6700,9156,2,2,6700.5,9156.5,4
22570,22570,8300,9156,1,1,8300.0,9156.0,1
22571,22571,8328,9156,1,1,8328.0,9156.0,1
22572,22572,8335,9156,1,1,8335.0,9156.0,1
22573,22573,9073,9156,1,1,9073.0,9156.0,1
22574,22574,10621,9156,35,47,10637.531147540984,9178.95081967213,305
22575,22575,11812,9156,2,1,11812.5,9156.0,2
22576,22576,11815,9156,1,2,11815.0,9156.5,2
22577,22577,5425,9159,1,1,5425.0,9159.0,1
22578,22578,5438,9159,1,1,5438.0,9159.0,1
22579,22579,5462,9159,1,1,5462.0,9159.0,1
22580,22580,6388,9159,1,1,6388.0,9159.0,1
22581,22581,6507,9159,1,1,6507.0,9159.0,1
22582,22582,8296,9158,1,1,8296.0,9158.0,1
22583,22583,8298,9158,2,2,8298.5,9158.5,2
22584,22584,8301,9159,1,1,8301.0,9159.0,1
22585,22585,9079,9159,1,1,9079.0,9159.0,1
22586,22586,9877,9159,1,1,9877.0,9159.0,1
22587,22587,9892,9159,1,1,9892.0,9159.0,1
22588,22588,9897,9159,1,1,9897.0,9159.0,1
22589,22589,11811,9159,1,1,11811.0,9159.0,1
22590,22590,11814,9159,1,2,11814.0,9159.5,2
22591,22591,5819,9161,1,1,5819.0,9161.0,1
22592,22592,6535,9160,1,1,6535.0,9160.0,1
22593,22593,6697,9161,1,1,6697.0,9161.0,1
